buf_size,cpu_128,cpu_512,cpu_1024,cpu_4096,cpu_8192,gpu_128,gpu_512,gpu_1024,gpu_4096,gpu_8192
128,9.943,10.124,10.566,9.962,9.884,9.676,9.453,9.847,9.114,9.807
256,19.969,20.028,20.157,20.211,20.701,18.026,9.719,9.616,9.532,9.714
512,40.173,40.622,40.571,39.955,42.183,34.763,9.752,10.163,9.39,10.194
1024,79.243,80.906,78.963,79.871,89.305,68.975,18.766,10.398,10.458,10.29
2048,160.676,160.969,160.403,162.052,166.107,136.5,35.859,19.479,10.269,11.012
4096,322.45,323.209,321.449,317.183,324.595,270.133,71.603,38.291,11.289,11.878
8192,644.154,650.386,665.591,666.064,660.619,472.696,142.51,74.713,21.552,12.657
16384,1334.572,1283.419,1356.266,1343.692,1332.654,928.994,253.878,146.267,41.585,24.242
